log_id,user_id,session_start,session_end,duration_sec,upload_bytes,download_bytes,src_ip,dest_domain,dest_ip,protocol,category,is_abnormal
24,1,2025-01-02 21:07:03,2025-01-02 21:29:03,1320,107357,1073576,10.76.84.84,dangdang.com,142.18.166.118,HTTPS,购物,0
25,1,2025-01-02 22:28:07,2025-01-02 22:49:07,1260,26672,506782,10.46.228.208,zhihu.com,56.85.165.86,HTTPS,社交,0
26,1,2025-01-02 16:29:08,2025-01-02 17:18:08,2940,287912,1439560,10.236.157.186,baidu.com,117.40.61.36,HTTPS,新闻,0
27,1,2024-10-01 14:25:16,2024-10-01 15:06:16,2460,43781,262686,10.23.216.89,icourse163.org,152.179.173.17,HTTPS,学习,0
28,1,2024-10-01 16:34:03,2024-10-01 17:14:03,2400,23897,454044,10.16.146.105,icourse163.org,83.141.233.59,HTTPS,学习,0
29,1,2024-10-01 10:49:08,2024-10-01 11:14:08,1500,95201,1523226,10.229.193.97,youtube.com,134.88.84.29,HTTPS,休闲,0
30,1,2024-09-28 23:43:42,2024-09-29 00:00:42,1020,28751,431275,10.60.91.138,github.com,126.250.3.110,HTTPS,其他,0
31,1,2024-09-28 15:33:08,2024-09-28 15:47:08,840,164913,659655,10.152.237.173,iqiyi.com,94.232.183.133,HTTPS,休闲,0
32,1,2024-09-28 18:27:34,2024-09-28 18:41:34,840,27234,299583,10.235.177.40,ieee.org,128.131.82.252,HTTPS,学习,0
33,1,2024-09-28 05:12:59,2024-09-28 06:00:59,2880,26166,444825,10.8.123.53,weixin.qq.com,188.118.153.140,HTTPS,社交,0
34,1,2024-11-14 23:06:38,2024-11-14 23:32:38,1560,109061,545308,10.125.22.103,bilibili.com,15.134.160.217,HTTPS,休闲,0
35,1,2024-10-16 13:14:34,2024-10-16 14:55:34,6060,452107,2260539,10.71.148.60,douban.com,108.14.90.223,HTTPS,社交,0
36,1,2024-10-16 06:20:36,2024-10-16 08:00:36,6000,544237,4353902,10.113.211.77,tencent.com,99.58.14.194,HTTPS,休闲,0
37,1,2024-10-16 12:03:35,2024-10-16 14:12:35,7740,156747,2664715,10.253.24.249,163.com,125.126.192.28,HTTPS,新闻,0
38,1,2024-12-31 13:41:42,2024-12-31 14:47:42,3960,169102,2367435,10.213.209.39,weixin.qq.com,140.107.175.88,HTTPS,社交,0
39,1,2024-12-31 07:24:11,2024-12-31 07:41:11,1020,54369,598067,10.153.73.207,pinduoduo.com,38.217.133.162,HTTPS,购物,0
40,1,2024-12-31 22:58:03,2024-12-31 23:23:03,1500,52078,885332,10.68.198.63,amazon.cn,198.8.73.117,HTTPS,购物,0
41,1,2024-10-07 06:13:21,2024-10-07 06:23:21,600,7466,112000,10.47.97.14,cnki.net,116.35.51.132,HTTPS,学习,0
42,1,2024-10-07 19:24:43,2024-10-07 20:49:43,5100,76423,764232,10.111.245.54,cnki.net,107.23.137.72,HTTPS,学习,0
43,1,2024-10-07 22:19:58,2024-10-07 23:13:58,3240,41141,411413,10.60.245.235,163.com,143.29.28.147,HTTPS,新闻,0
44,1,2024-10-07 08:44:38,2024-10-07 10:11:38,5220,79567,875238,10.164.144.98,coursera.org,85.79.32.100,HTTPS,学习,0
45,1,2024-11-03 18:34:41,2024-11-03 21:01:41,8820,125671,1885069,10.254.238.26,wiley.com,79.127.237.131,HTTPS,学习,0
46,1,2024-11-03 10:48:53,2024-11-03 11:36:53,2880,111839,1677596,10.160.211.12,douban.com,204.50.40.64,HTTPS,社交,0
47,1,2024-11-16 21:55:14,2024-11-16 22:58:14,3780,37429,636293,10.151.78.51,zhihu.com,214.72.226.170,HTTPS,社交,0
48,1,2024-11-16 13:14:24,2024-11-16 15:45:24,9060,235565,4475738,10.172.131.196,cnki.net,79.151.196.203,HTTPS,学习,0
49,1,2024-11-16 10:46:41,2024-11-16 11:17:41,1860,148593,2228906,10.86.71.185,iqiyi.com,79.55.20.78,HTTPS,休闲,0
50,1,2024-12-22 11:31:11,2024-12-22 12:14:11,2580,401853,2009266,10.17.38.242,zhihu.com,11.76.212.204,HTTPS,社交,0
51,1,2024-12-22 18:48:00,2024-12-22 19:17:00,1740,28655,315207,10.34.77.3,icourse163.org,153.125.77.11,HTTPS,学习,0
52,1,2024-12-22 23:32:29,2024-12-23 00:31:29,3540,55984,1063703,10.249.8.2,stackoverflow.com,1.16.23.103,HTTPS,其他,0
53,1,2024-12-22 11:35:26,2024-12-22 12:51:26,4560,38114,457373,10.146.8.129,dangdang.com,167.51.6.241,HTTPS,购物,0
54,1,2024-12-22 08:51:58,2024-12-22 09:16:58,1500,98593,690156,10.76.123.50,iqiyi.com,8.143.188.150,HTTPS,休闲,0
55,1,2024-12-22 23:33:16,2024-12-23 00:27:16,3240,74763,1196212,10.40.191.246,zhihu.com,60.178.152.213,HTTPS,社交,0
56,1,2024-12-17 22:29:36,2024-12-18 00:44:36,8100,752308,8275389,10.153.41.168,iqiyi.com,112.62.99.143,HTTPS,休闲,0
57,1,2024-12-17 19:05:25,2024-12-17 19:20:25,900,20714,393584,10.28.4.180,weibo.com,161.173.102.191,HTTPS,社交,0
58,1,2024-12-17 21:05:31,2024-12-17 22:45:31,6000,147464,2064496,10.48.21.59,coursera.org,44.98.18.220,HTTPS,学习,0
59,1,2024-11-23 12:57:55,2024-11-23 13:14:55,1020,113588,567943,10.38.143.231,jd.com,171.160.196.215,HTTPS,购物,0
60,1,2024-11-23 03:36:42,2024-11-23 04:03:42,1620,15898,222578,10.8.106.151,zhihu.com,218.69.6.48,HTTPS,社交,0
61,1,2024-11-23 16:48:52,2024-11-23 17:45:52,3420,355753,4624794,10.83.123.146,youtube.com,3.237.178.127,HTTPS,休闲,0
62,1,2024-11-23 03:43:57,2024-11-23 03:52:57,540,18763,150111,10.40.177.14,wiley.com,178.74.101.109,HTTPS,学习,0
63,1,2024-11-23 13:53:04,2024-11-23 14:27:04,2040,62726,1003631,10.167.15.163,jd.com,43.91.171.5,HTTPS,购物,0
64,1,2024-11-23 09:50:28,2024-11-23 10:03:28,780,21554,344868,10.221.95.175,163.com,200.168.54.231,HTTPS,新闻,0
65,1,2024-11-23 06:42:24,2024-11-23 07:16:24,2040,44657,580545,10.126.37.22,zhihu.com,53.234.183.86,HTTPS,社交,0
66,1,2024-11-23 18:09:24,2024-11-23 18:28:24,1140,28537,399519,10.184.54.24,weixin.qq.com,35.231.45.4,HTTPS,社交,0
67,1,2024-11-26 06:19:28,2024-11-26 07:08:28,2940,459579,3217055,10.67.44.48,bilibili.com,17.14.97.10,HTTPS,休闲,0
68,1,2024-11-26 08:28:35,2024-11-26 09:34:35,3960,718711,5030984,10.13.45.91,iqiyi.com,177.107.113.118,HTTPS,休闲,0
69,1,2024-11-26 10:05:38,2024-11-26 12:20:38,8100,587653,2350614,10.149.211.100,ieee.org,198.134.235.74,HTTPS,学习,0
70,1,2024-11-26 11:46:57,2024-11-26 12:31:57,2700,204775,2252536,10.86.194.44,weibo.com,112.214.252.110,HTTPS,社交,0
71,1,2024-11-26 20:17:19,2024-11-26 23:17:19,10800,633444,3800667,10.85.222.71,stackoverflow.com,61.40.231.39,HTTPS,其他,0
72,1,2024-10-31 01:19:30,2024-10-31 02:34:30,4500,79782,877605,10.253.100.118,douban.com,168.200.120.15,HTTPS,社交,0
73,1,2024-10-31 04:08:19,2024-10-31 04:35:19,1620,15960,223443,10.194.168.113,icourse163.org,106.149.220.255,HTTPS,学习,0
74,1,2025-01-13 08:08:19,2025-01-13 10:36:19,8880,854190,8541910,10.245.160.46,tencent.com,159.89.254.175,HTTPS,休闲,0
75,1,2024-11-08 18:20:18,2024-11-08 19:43:18,4980,714543,7859984,10.166.192.72,iqiyi.com,47.233.40.192,HTTPS,休闲,0
76,1,2024-11-08 08:23:07,2024-11-08 08:56:07,1980,99848,898633,10.13.236.242,douban.com,220.128.22.229,HTTPS,社交,0
77,1,2024-11-08 18:28:51,2024-11-08 19:03:51,2100,99047,594284,10.209.255.36,coursera.org,68.3.3.54,HTTPS,学习,0
78,1,2024-11-08 17:15:16,2024-11-08 17:39:16,1440,31253,500061,10.37.229.254,pinduoduo.com,88.27.255.251,HTTPS,购物,0
79,1,2024-09-02 22:30:37,2024-09-02 23:11:37,2460,74848,1272423,10.18.184.180,docker.com,141.65.176.73,HTTPS,其他,0
80,1,2024-09-02 12:38:40,2024-09-02 12:58:40,1200,8653,95183,10.181.85.166,ieee.org,188.9.100.114,HTTPS,学习,0
81,1,2024-09-02 02:02:36,2024-09-02 02:22:36,1200,59589,834250,10.220.54.3,ifeng.com,203.178.181.37,HTTPS,新闻,0
82,1,2024-09-02 19:16:14,2024-09-02 20:21:14,3900,145881,1604700,10.228.191.101,icourse163.org,194.65.232.172,HTTPS,学习,0
83,1,2024-09-02 22:49:43,2024-09-02 23:52:43,3780,341990,2735921,10.176.12.124,douban.com,202.137.186.54,HTTPS,社交,0
84,1,2024-12-18 23:18:26,2024-12-19 00:12:26,3240,60020,480161,10.178.159.88,baidu.com,39.132.92.23,HTTPS,新闻,0
85,1,2024-12-18 13:50:13,2024-12-18 14:09:13,1140,77342,1469498,10.49.224.185,iqiyi.com,147.240.200.204,HTTPS,休闲,0
86,1,2024-09-14 16:20:04,2024-09-14 17:43:04,4980,167384,1171689,10.11.175.166,amazon.cn,51.149.22.188,HTTPS,购物,0
87,1,2024-09-14 12:43:51,2024-09-14 13:10:51,1620,59488,654378,10.89.81.85,taobao.com,195.62.149.41,HTTPS,购物,0
88,1,2024-09-14 22:27:29,2024-09-14 23:32:29,3900,110335,993016,10.95.221.102,ieee.org,93.141.25.6,HTTPS,学习,0
89,1,2024-09-14 12:47:39,2024-09-14 15:19:39,9120,96223,1635801,10.199.2.181,icourse163.org,10.127.77.153,HTTPS,学习,0
90,1,2024-09-14 11:13:17,2024-09-14 12:30:17,4620,240482,2164342,10.187.166.51,youtube.com,209.119.218.175,HTTPS,休闲,0
91,1,2024-10-26 05:07:16,2024-10-26 05:13:16,360,32082,449148,10.198.200.151,iqiyi.com,102.165.34.58,HTTPS,休闲,0
92,1,2024-10-26 13:22:22,2024-10-26 15:38:22,8160,374951,4874366,10.43.68.81,taobao.com,187.145.225.61,HTTPS,购物,0
93,1,2024-10-26 08:15:19,2024-10-26 09:09:19,3240,38851,310813,10.198.214.153,icourse163.org,89.21.78.246,HTTPS,学习,0
94,1,2024-10-26 06:36:24,2024-10-26 08:14:24,5880,127418,1146767,10.85.250.74,coursera.org,111.125.217.125,HTTPS,学习,0
95,1,2024-10-26 06:11:20,2024-10-26 07:02:20,3060,121751,1826269,10.4.248.35,qq.com,46.109.166.91,HTTPS,社交,0
96,1,2024-09-18 13:52:24,2024-09-18 14:58:24,3960,134372,2553076,10.209.251.107,stackoverflow.com,49.102.109.194,HTTPS,其他,0
97,1,2024-10-04 17:31:10,2024-10-04 18:36:10,3900,85289,938186,10.149.16.71,douban.com,211.225.194.195,HTTPS,社交,0
98,1,2024-10-04 15:34:18,2024-10-04 16:03:18,1740,20724,393774,10.57.58.69,coursera.org,108.152.144.42,HTTPS,学习,0
99,1,2024-10-04 15:52:23,2024-10-04 16:34:23,2520,208866,1044334,10.225.111.254,ieee.org,136.145.86.75,HTTPS,学习,0
100,1,2024-10-04 17:06:47,2024-10-04 17:23:47,1020,55576,277885,10.230.134.90,douban.com,219.122.72.147,HTTPS,社交,0
101,1,2024-10-04 13:28:55,2024-10-04 14:25:55,3420,98653,1085185,10.107.179.221,github.com,69.196.187.82,HTTPS,其他,0
102,1,2024-10-04 23:40:27,2024-10-05 00:04:27,1440,26885,268850,10.105.30.146,ieee.org,158.134.126.11,HTTPS,学习,0
103,1,2024-10-17 16:34:17,2024-10-17 17:22:17,2880,96368,1252795,10.148.136.244,163.com,218.224.85.179,HTTPS,新闻,0
104,1,2024-12-07 04:57:43,2024-12-07 05:31:43,2040,20184,343141,10.30.141.222,dangdang.com,16.32.115.69,HTTPS,购物,0
105,1,2024-12-07 23:44:55,2024-12-08 00:14:55,1800,62233,871275,10.126.201.126,youtube.com,164.252.226.101,HTTPS,休闲,0
106,1,2024-12-07 11:36:40,2024-12-07 12:48:40,4320,116448,1863173,10.231.38.163,qq.com,130.78.96.230,HTTPS,社交,0
107,1,2024-12-07 15:25:32,2024-12-07 16:40:32,4500,288364,4325466,10.232.249.84,bilibili.com,135.50.152.56,HTTPS,休闲,0
108,1,2024-12-07 23:00:55,2024-12-07 23:07:55,420,3972,71508,10.183.32.204,ieee.org,106.36.31.7,HTTPS,学习,0
109,1,2024-10-22 21:25:13,2024-10-22 21:36:13,660,23477,446081,10.137.165.213,dangdang.com,56.175.3.162,HTTPS,购物,0
110,1,2024-10-22 21:21:35,2024-10-22 23:44:35,8580,202136,3840598,10.175.24.12,pinduoduo.com,133.141.157.210,HTTPS,购物,0
111,1,2024-10-22 02:40:50,2024-10-22 04:05:50,5100,87943,791490,10.225.233.1,icourse163.org,161.6.227.20,HTTPS,学习,0
112,1,2024-10-22 08:12:44,2024-10-22 08:34:44,1320,36361,472703,10.81.140.24,npmjs.com,174.200.21.75,HTTPS,其他,0
113,1,2024-10-22 13:16:05,2024-10-22 13:46:05,1800,104231,938079,10.26.202.161,weixin.qq.com,156.187.116.223,HTTPS,社交,0
114,1,2024-10-22 11:46:44,2024-10-22 13:15:44,5340,594212,3565278,10.48.0.55,netflix.com,48.211.250.105,HTTPS,休闲,0
115,1,2024-12-12 23:04:08,2024-12-12 23:37:08,1980,39677,714191,10.4.4.179,sohu.com,130.70.219.27,HTTPS,新闻,0
116,1,2025-01-09 18:52:07,2025-01-09 19:26:07,2040,65787,1249953,10.36.117.99,wikipedia.org,29.106.216.215,HTTPS,其他,0
117,1,2025-01-09 19:46:51,2025-01-09 19:55:51,540,3094,46416,10.153.70.98,icourse163.org,145.171.160.193,HTTPS,学习,0
118,1,2025-01-09 19:41:43,2025-01-09 21:13:43,5520,107934,431738,10.84.225.90,coursera.org,72.108.244.251,HTTPS,学习,0
119,1,2025-01-09 20:40:47,2025-01-09 22:05:47,5100,226749,4081493,10.111.44.230,youtube.com,146.42.231.235,HTTPS,休闲,0
120,1,2025-01-09 17:08:48,2025-01-09 17:42:48,2040,36631,586112,10.179.219.81,weibo.com,175.79.132.230,HTTPS,社交,0
121,1,2025-01-07 20:15:17,2025-01-07 22:03:17,6480,49173,639260,10.13.154.53,coursera.org,149.169.74.197,HTTPS,学习,0
122,1,2025-01-07 07:38:32,2025-01-07 08:44:32,3960,69180,899346,10.27.122.127,ieee.org,78.232.172.232,HTTPS,学习,0
123,1,2024-11-12 12:07:15,2024-11-12 13:57:15,6600,653231,3919392,10.6.184.240,amazon.cn,109.127.33.77,HTTPS,购物,0
124,1,2024-11-12 18:08:24,2024-11-12 18:43:24,2100,290921,2618297,10.241.37.5,netflix.com,80.99.65.225,HTTPS,休闲,0
125,1,2024-11-12 23:04:00,2024-11-12 23:12:00,480,24778,123890,10.203.146.161,ifeng.com,56.47.154.92,HTTPS,新闻,0
126,1,2024-11-11 06:49:26,2024-11-11 07:20:26,1860,100910,605466,10.78.142.22,ieee.org,222.254.58.79,HTTPS,学习,0
127,1,2024-11-11 07:05:32,2024-11-11 07:18:32,780,26065,208527,10.167.200.151,cnki.net,164.4.92.91,HTTPS,学习,0
128,1,2024-11-11 22:19:44,2024-11-11 23:07:44,2880,95051,1045563,10.29.125.23,icourse163.org,39.226.244.34,HTTPS,学习,0
129,1,2024-11-11 19:07:29,2024-11-11 19:30:29,1380,57818,520364,10.61.6.182,iqiyi.com,61.51.86.128,HTTPS,休闲,0
130,1,2024-12-09 06:44:00,2024-12-09 07:06:00,1320,14961,224417,10.132.85.96,coursera.org,89.200.142.116,HTTPS,学习,0
131,1,2024-11-10 16:47:49,2024-11-10 17:17:49,1800,230047,1610330,10.15.171.207,youtube.com,197.29.60.22,HTTPS,休闲,0
132,1,2024-11-10 18:17:33,2024-11-10 18:51:33,2040,53641,321849,10.254.233.131,sohu.com,48.102.75.186,HTTPS,新闻,0
133,1,2024-12-21 21:03:31,2024-12-21 21:21:31,1080,122872,1105854,10.130.52.229,netflix.com,97.218.119.211,HTTPS,休闲,0
134,1,2024-12-21 13:43:46,2024-12-21 14:35:46,3120,302777,1211108,10.22.6.63,tencent.com,2.101.109.91,HTTPS,休闲,0
135,1,2024-12-21 18:30:23,2024-12-21 18:50:23,1200,170516,1534645,10.18.214.58,bilibili.com,82.86.49.152,HTTPS,休闲,0
136,1,2024-09-10 19:15:26,2024-09-10 19:20:26,300,8660,51960,10.190.61.129,cnki.net,180.30.249.128,HTTPS,学习,0
137,1,2024-10-20 16:11:14,2024-10-20 16:28:14,1020,108185,1730963,10.35.238.222,bilibili.com,8.201.67.10,HTTPS,休闲,0
138,1,2024-10-20 02:49:54,2024-10-20 03:05:54,960,43256,778608,10.4.188.52,netflix.com,33.85.122.64,HTTPS,休闲,0
139,1,2024-10-20 09:36:50,2024-10-20 09:53:50,1020,93893,1032830,10.237.188.152,netflix.com,134.166.243.32,HTTPS,休闲,0
140,1,2024-11-04 17:49:49,2024-11-04 18:14:49,1500,108278,1191069,10.77.3.239,iqiyi.com,146.34.217.107,HTTPS,休闲,0
141,1,2024-11-04 14:01:14,2024-11-04 14:25:14,1440,164558,658233,10.171.0.195,douban.com,144.15.232.211,HTTPS,社交,0
142,1,2024-11-04 18:54:47,2024-11-04 19:13:47,1140,67120,738321,10.214.251.247,iqiyi.com,191.238.110.243,HTTPS,休闲,0
143,1,2024-11-04 13:09:45,2024-11-04 13:42:45,1980,45501,500520,10.211.190.118,weibo.com,5.96.166.184,HTTPS,社交,0
144,1,2024-11-04 07:37:06,2024-11-04 08:13:06,2160,28816,461067,10.38.31.112,icourse163.org,154.99.9.208,HTTPS,学习,0
145,1,2024-10-28 09:15:18,2024-10-28 09:32:18,1020,18804,300876,10.167.162.116,coursera.org,218.113.149.149,HTTPS,学习,0
146,1,2024-12-01 23:14:04,2024-12-01 23:35:04,1260,90363,632544,10.79.54.43,netflix.com,188.244.58.82,HTTPS,休闲,0
147,1,2024-12-01 13:29:20,2024-12-01 13:49:20,1200,14339,215085,10.106.231.79,wiley.com,218.222.108.69,HTTPS,学习,0
148,1,2024-10-06 20:16:54,2024-10-06 21:16:54,3600,112157,1458049,10.20.110.214,iqiyi.com,204.185.81.169,HTTPS,休闲,0
149,1,2024-10-06 12:09:05,2024-10-06 12:50:05,2460,160934,2574945,10.25.153.67,netflix.com,181.241.232.69,HTTPS,休闲,0
150,1,2024-10-06 07:01:25,2024-10-06 07:04:25,180,19254,211805,10.48.236.27,youtube.com,111.62.182.174,HTTPS,休闲,0
151,1,2024-10-06 11:07:00,2024-10-06 11:20:00,780,18974,208725,10.66.101.211,qq.com,90.102.112.211,HTTPS,社交,0
152,1,2024-11-19 07:23:43,2024-11-19 08:04:43,2460,29082,348995,10.38.11.17,wiley.com,214.67.38.182,HTTPS,学习,0
153,1,2024-11-19 23:57:41,2024-11-20 01:11:41,4440,270733,1624398,10.169.62.11,coursera.org,1.208.72.38,HTTPS,学习,0
154,1,2025-01-11 12:03:10,2025-01-11 12:23:10,1200,99140,1586251,10.254.15.98,iqiyi.com,123.207.11.103,HTTPS,休闲,0
155,1,2025-01-11 21:11:22,2025-01-11 21:48:22,2220,83914,1006973,10.143.228.227,amazon.cn,49.33.40.124,HTTPS,购物,0
156,1,2025-01-11 06:02:39,2025-01-11 06:37:39,2100,96859,1840340,10.210.245.16,youtube.com,213.49.140.44,HTTPS,休闲,0
157,1,2025-01-11 17:17:24,2025-01-11 17:47:24,1800,41535,456893,10.9.195.201,weibo.com,148.149.147.130,HTTPS,社交,0
158,1,2024-09-16 21:30:34,2024-09-16 22:06:34,2160,42296,592147,10.198.138.47,cnki.net,159.158.129.196,HTTPS,学习,0
159,1,2024-09-16 16:20:38,2024-09-16 17:26:38,3960,67417,809004,10.29.241.136,weibo.com,188.0.160.181,HTTPS,社交,0
160,1,2024-09-17 20:49:37,2024-09-17 21:14:37,1500,60248,421743,10.126.123.69,cnki.net,8.201.250.220,HTTPS,学习,0
161,1,2024-09-17 10:52:50,2024-09-17 11:19:50,1620,76206,838277,10.198.181.240,tencent.com,182.209.245.218,HTTPS,休闲,0
162,1,2024-09-17 22:11:15,2024-09-17 23:14:15,3780,279499,4192496,10.14.180.243,youtube.com,220.182.83.99,HTTPS,休闲,0
163,1,2024-09-17 07:36:09,2024-09-17 08:13:09,2220,104334,1982356,10.158.89.126,zhihu.com,20.248.239.9,HTTPS,社交,0
164,1,2024-09-13 18:05:03,2024-09-13 18:57:03,3120,258800,1035200,10.244.0.85,weibo.com,59.61.202.219,HTTPS,社交,0
165,1,2024-10-21 20:12:51,2024-10-21 20:47:51,2100,29308,263780,10.165.30.6,ieee.org,134.149.6.195,HTTPS,学习,0
166,1,2024-10-21 22:37:45,2024-10-21 22:59:45,1320,30672,460086,10.37.191.181,qq.com,53.163.7.55,HTTPS,社交,0
167,1,2024-10-21 21:37:06,2024-10-21 22:03:06,1560,37800,302404,10.80.223.203,wiley.com,118.199.148.109,HTTPS,学习,0
168,1,2024-10-21 08:41:20,2024-10-21 08:56:20,900,21792,326891,10.114.89.97,douban.com,14.79.213.119,HTTPS,社交,0
169,1,2024-10-18 12:46:44,2024-10-18 12:53:44,420,13174,52697,10.200.16.47,cnki.net,169.174.130.177,HTTPS,学习,0
170,1,2024-10-18 23:20:58,2024-10-19 01:09:58,6540,710417,4972926,10.254.72.85,tencent.com,165.165.197.148,HTTPS,休闲,0
171,1,2024-10-18 17:15:22,2024-10-18 21:09:22,14040,350972,2105838,10.171.228.3,icourse163.org,70.93.159.248,HTTPS,学习,0
172,1,2024-10-18 22:13:15,2024-10-18 22:49:15,2160,30770,215393,10.0.24.99,cnki.net,124.230.20.227,HTTPS,学习,0
173,1,2024-10-18 17:46:26,2024-10-18 18:34:26,2880,61651,1171381,10.193.179.140,amazon.cn,59.29.131.156,HTTPS,购物,0
174,1,2024-10-14 20:06:53,2024-10-14 20:45:53,2340,299970,3299670,10.83.231.19,iqiyi.com,122.115.150.83,HTTPS,休闲,0
175,1,2024-10-14 22:18:01,2024-10-14 22:33:01,900,41020,287140,10.37.175.44,taobao.com,22.1.176.9,HTTPS,购物,0
176,1,2024-10-14 21:10:46,2024-10-14 21:39:46,1740,62450,374705,10.173.247.181,npmjs.com,17.32.63.63,HTTPS,其他,0
177,1,2024-12-04 05:27:41,2024-12-04 06:45:41,4680,192235,3267998,10.80.27.26,bilibili.com,22.63.206.22,HTTPS,休闲,0
178,1,2024-12-04 12:13:12,2024-12-04 12:33:12,1200,34037,408446,10.144.152.61,cnki.net,123.248.168.108,HTTPS,学习,0
179,1,2024-12-04 16:03:25,2024-12-04 16:30:25,1620,123012,2337232,10.78.27.93,bilibili.com,140.113.178.201,HTTPS,休闲,0
180,1,2024-12-04 20:27:05,2024-12-04 21:21:05,3240,53617,1018739,10.102.49.7,icourse163.org,55.172.36.234,HTTPS,学习,0
181,1,2024-12-02 08:10:40,2024-12-02 08:13:40,180,3296,62639,10.59.157.201,coursera.org,147.132.98.19,HTTPS,学习,0
182,1,2024-12-02 13:30:31,2024-12-02 14:01:31,1860,29102,465637,10.94.189.227,amazon.cn,137.244.180.147,HTTPS,购物,0
183,1,2024-09-19 08:23:11,2024-09-19 08:40:11,1020,18786,338164,10.238.134.58,douban.com,129.163.229.37,HTTPS,社交,0
184,1,2024-09-19 16:36:03,2024-09-19 17:05:03,1740,81473,570313,10.43.176.207,wikipedia.org,161.34.231.152,HTTPS,其他,0
185,1,2024-09-26 09:26:48,2024-09-26 09:56:48,1800,160952,804761,10.198.214.248,zhihu.com,132.129.90.75,HTTPS,社交,0
186,1,2024-11-05 17:43:55,2024-11-05 18:20:55,2220,248764,2736404,10.243.153.21,tencent.com,96.95.59.55,HTTPS,休闲,0
187,1,2024-12-11 14:57:54,2024-12-11 16:26:54,5340,258461,2067693,10.61.229.45,iqiyi.com,2.93.169.132,HTTPS,休闲,0
188,1,2024-12-11 09:13:51,2024-12-11 09:19:51,360,2479,42155,10.40.222.52,coursera.org,19.137.118.182,HTTPS,学习,0
189,1,2024-11-27 08:53:38,2024-11-27 10:03:38,4200,114109,684654,10.44.198.143,coursera.org,95.254.185.65,HTTPS,学习,0
