borrow_id,user_id,book_isbn,book_title,category,borrow_date,due_date,return_date,renew_count,library_branch
84,54,978-7-679,学术参考资料,I247,2025-12-09,2026-01-08,2025-12-17,0,主图书馆
85,54,978-7-817,学术参考资料,TP31,2025-11-28,2025-12-28,2025-12-20,0,主图书馆
86,55,978-7-880,学术参考资料,TP31,2025-12-19,2026-01-18,2025-12-31,0,主图书馆
87,57,978-7-536,学术参考资料,TP31,2025-10-28,2025-11-27,2025-11-06,0,主图书馆
88,57,978-7-359,学术参考资料,TP31,2025-10-10,2025-11-09,2025-10-25,0,主图书馆
89,58,978-7-790,学术参考资料,I247,2025-12-03,2026-01-02,2025-12-11,0,主图书馆
90,58,978-7-884,学术参考资料,I247,2025-10-15,2025-11-14,2025-10-28,0,主图书馆
91,59,978-7-243,学术参考资料,I247,2025-09-09,2025-10-09,2025-09-25,0,主图书馆
92,59,978-7-785,学术参考资料,TP31,2025-09-06,2025-10-06,2025-09-19,0,主图书馆
93,59,978-7-428,学术参考资料,I247,2025-10-02,2025-11-01,2025-10-19,0,主图书馆
94,59,978-7-469,学术参考资料,TP31,2025-11-06,2025-12-06,2025-11-17,0,主图书馆
95,59,978-7-529,学术参考资料,I247,2025-09-28,2025-10-28,2025-10-23,0,主图书馆
96,64,978-7-289,学术参考资料,TP31,2025-09-14,2025-10-14,2025-09-22,0,主图书馆
97,64,978-7-548,学术参考资料,I247,2025-09-01,2025-10-01,2025-09-13,0,主图书馆
98,64,978-7-189,学术参考资料,TP31,2025-10-18,2025-11-17,2025-10-23,0,主图书馆
99,64,978-7-958,学术参考资料,I247,2025-12-19,2026-01-18,2025-12-26,0,主图书馆
100,64,978-7-219,学术参考资料,TP31,2025-11-05,2025-12-05,2025-11-21,0,主图书馆
101,67,978-7-126,学术参考资料,I247,2025-12-18,2026-01-17,2025-12-30,0,主图书馆
102,69,978-7-655,学术参考资料,TP31,2025-11-26,2025-12-26,2025-12-09,0,主图书馆
103,69,978-7-414,学术参考资料,TP31,2025-09-15,2025-10-15,2025-10-02,0,主图书馆
104,69,978-7-389,学术参考资料,I247,2025-10-04,2025-11-03,2025-10-20,0,主图书馆
105,69,978-7-844,学术参考资料,TP31,2025-09-29,2025-10-29,2025-10-15,0,主图书馆
106,69,978-7-485,学术参考资料,TP31,2025-09-27,2025-10-27,2025-10-03,0,主图书馆
107,71,978-7-538,学术参考资料,TP31,2025-12-27,2026-01-26,2026-01-18,0,主图书馆
108,72,978-7-441,学术参考资料,TP31,2025-12-05,2026-01-04,2025-12-30,0,主图书馆
109,72,978-7-986,学术参考资料,I247,2025-09-20,2025-10-20,2025-10-14,0,主图书馆
110,73,978-7-853,学术参考资料,I247,2025-09-15,2025-10-15,2025-10-02,0,主图书馆
111,73,978-7-988,学术参考资料,TP31,2025-09-16,2025-10-16,2025-09-26,0,主图书馆
112,73,978-7-795,学术参考资料,I247,2025-10-09,2025-11-08,2025-10-20,0,主图书馆
113,74,978-7-389,学术参考资料,TP31,2025-11-11,2025-12-11,2025-11-19,0,主图书馆
114,74,978-7-151,学术参考资料,I247,2025-12-10,2026-01-09,2026-01-01,0,主图书馆
115,75,978-7-154,学术参考资料,TP31,2025-09-07,2025-10-07,2025-09-30,0,主图书馆
116,75,978-7-589,学术参考资料,I247,2025-10-22,2025-11-21,2025-11-06,0,主图书馆
117,76,978-7-383,学术参考资料,TP31,2025-11-20,2025-12-20,2025-11-29,0,主图书馆
118,76,978-7-367,学术参考资料,TP31,2025-12-11,2026-01-10,2026-01-01,0,主图书馆
119,76,978-7-430,学术参考资料,TP31,2025-09-28,2025-10-28,2025-10-09,0,主图书馆
120,76,978-7-148,学术参考资料,I247,2025-11-10,2025-12-10,2025-12-01,0,主图书馆
121,78,978-7-555,学术参考资料,TP31,2025-12-04,2026-01-03,2025-12-23,0,主图书馆
122,78,978-7-764,学术参考资料,I247,2025-12-10,2026-01-09,2025-12-21,0,主图书馆
123,78,978-7-745,学术参考资料,TP31,2025-10-01,2025-10-31,2025-10-21,0,主图书馆
124,78,978-7-764,学术参考资料,I247,2025-12-18,2026-01-17,2025-12-24,0,主图书馆
125,78,978-7-118,学术参考资料,I247,2025-10-23,2025-11-22,2025-11-01,0,主图书馆
126,79,978-7-698,学术参考资料,TP31,2025-11-10,2025-12-10,2025-11-18,0,主图书馆
127,79,978-7-530,学术参考资料,TP31,2025-12-20,2026-01-19,2026-01-09,0,主图书馆
128,79,978-7-860,学术参考资料,TP31,2025-11-18,2025-12-18,2025-11-27,0,主图书馆
129,79,978-7-495,学术参考资料,I247,2025-11-30,2025-12-30,2025-12-06,0,主图书馆
130,79,978-7-720,学术参考资料,I247,2025-09-09,2025-10-09,2025-09-26,0,主图书馆
131,80,978-7-872,学术参考资料,I247,2025-09-04,2025-10-04,2025-09-23,0,主图书馆
132,80,978-7-699,学术参考资料,I247,2025-10-21,2025-11-20,2025-10-26,0,主图书馆
133,80,978-7-667,学术参考资料,TP31,2025-12-20,2026-01-19,2026-01-11,0,主图书馆
134,80,978-7-551,学术参考资料,TP31,2025-10-07,2025-11-06,2025-10-29,0,主图书馆
135,82,978-7-405,学术参考资料,TP31,2025-10-08,2025-11-07,2025-10-13,0,主图书馆
136,82,978-7-231,学术参考资料,TP31,2025-09-16,2025-10-16,2025-10-02,0,主图书馆
137,84,978-7-661,学术参考资料,I247,2025-11-13,2025-12-13,2025-12-07,0,主图书馆
138,84,978-7-668,学术参考资料,TP31,2025-11-04,2025-12-04,2025-11-22,0,主图书馆
139,84,978-7-488,学术参考资料,TP31,2025-09-01,2025-10-01,2025-09-20,0,主图书馆
140,84,978-7-100,学术参考资料,I247,2025-11-14,2025-12-14,2025-11-21,0,主图书馆
141,84,978-7-711,学术参考资料,TP31,2025-11-20,2025-12-20,2025-12-09,0,主图书馆
142,85,978-7-760,学术参考资料,I247,2025-10-08,2025-11-07,2025-10-19,0,主图书馆
143,85,978-7-404,学术参考资料,I247,2025-11-05,2025-12-05,2025-11-23,0,主图书馆
144,85,978-7-257,学术参考资料,TP31,2025-10-26,2025-11-25,2025-11-01,0,主图书馆
145,86,978-7-244,学术参考资料,TP31,2025-12-16,2026-01-15,2025-12-23,0,主图书馆
146,86,978-7-107,学术参考资料,TP31,2025-09-20,2025-10-20,2025-10-04,0,主图书馆
147,86,978-7-548,学术参考资料,TP31,2025-11-12,2025-12-12,2025-11-29,0,主图书馆
148,87,978-7-330,学术参考资料,I247,2025-09-01,2025-10-01,2025-09-14,0,主图书馆
149,89,978-7-758,学术参考资料,TP31,2025-09-07,2025-10-07,2025-09-16,0,主图书馆
150,91,978-7-493,学术参考资料,TP31,2025-12-11,2026-01-10,2026-01-03,0,主图书馆
151,91,978-7-751,学术参考资料,TP31,2025-11-11,2025-12-11,2025-12-01,0,主图书馆
152,91,978-7-959,学术参考资料,TP31,2025-11-24,2025-12-24,2025-12-06,0,主图书馆
153,92,978-7-394,学术参考资料,TP31,2025-09-30,2025-10-30,2025-10-24,0,主图书馆
154,92,978-7-547,学术参考资料,I247,2025-12-18,2026-01-17,2026-01-11,0,主图书馆
155,92,978-7-461,学术参考资料,I247,2025-11-14,2025-12-14,2025-12-06,0,主图书馆
156,98,978-7-100,学术参考资料,I247,2025-11-07,2025-12-07,2025-11-18,0,主图书馆
157,99,978-7-756,学术参考资料,TP31,2025-10-03,2025-11-02,2025-10-26,0,主图书馆
158,100,978-7-930,学术参考资料,I247,2025-12-21,2026-01-20,2026-01-13,0,主图书馆
159,100,978-7-538,学术参考资料,TP31,2025-12-22,2026-01-21,2026-01-11,0,主图书馆
160,100,978-7-672,学术参考资料,I247,2025-12-12,2026-01-11,2026-01-03,0,主图书馆
161,100,978-7-758,学术参考资料,TP31,2025-09-16,2025-10-16,2025-09-26,0,主图书馆
162,101,978-7-468,学术参考资料,TP31,2025-09-05,2025-10-05,2025-09-24,0,主图书馆
163,101,978-7-667,学术参考资料,TP31,2025-11-02,2025-12-02,2025-11-10,0,主图书馆
164,101,978-7-604,学术参考资料,TP31,2025-12-11,2026-01-10,2025-12-17,0,主图书馆
165,101,978-7-721,学术参考资料,TP31,2025-09-01,2025-10-01,2025-09-23,0,主图书馆
166,101,978-7-140,学术参考资料,I247,2025-12-03,2026-01-02,2025-12-27,0,主图书馆
167,102,978-7-650,学术参考资料,I247,2025-11-07,2025-12-07,2025-11-22,0,主图书馆
168,104,978-7-886,学术参考资料,TP31,2025-10-04,2025-11-03,2025-10-23,0,主图书馆
169,104,978-7-772,学术参考资料,I247,2025-10-27,2025-11-26,2025-11-13,0,主图书馆
170,104,978-7-956,学术参考资料,I247,2025-11-16,2025-12-16,2025-11-21,0,主图书馆
171,106,978-7-740,学术参考资料,TP31,2025-09-16,2025-10-16,2025-10-07,0,主图书馆
172,106,978-7-536,学术参考资料,TP31,2025-10-12,2025-11-11,2025-11-06,0,主图书馆
173,106,978-7-481,学术参考资料,I247,2025-10-05,2025-11-04,2025-10-19,0,主图书馆
174,106,978-7-628,学术参考资料,I247,2025-09-23,2025-10-23,2025-10-02,0,主图书馆
175,106,978-7-908,学术参考资料,I247,2025-12-01,2025-12-31,2025-12-19,0,主图书馆
176,107,978-7-774,学术参考资料,TP31,2025-12-14,2026-01-13,2026-01-08,0,主图书馆
177,107,978-7-690,学术参考资料,TP31,2025-12-19,2026-01-18,2025-12-26,0,主图书馆
178,107,978-7-911,学术参考资料,TP31,2025-10-10,2025-11-09,2025-10-29,0,主图书馆
179,107,978-7-335,学术参考资料,TP31,2025-11-01,2025-12-01,2025-11-21,0,主图书馆
180,107,978-7-858,学术参考资料,I247,2025-09-01,2025-10-01,2025-09-26,0,主图书馆
181,109,978-7-396,学术参考资料,I247,2025-11-25,2025-12-25,2025-12-09,0,主图书馆
182,109,978-7-407,学术参考资料,I247,2025-12-25,2026-01-24,2026-01-17,0,主图书馆
183,109,978-7-966,学术参考资料,I247,2025-09-28,2025-10-28,2025-10-10,0,主图书馆
184,109,978-7-659,学术参考资料,I247,2025-09-07,2025-10-07,2025-09-30,0,主图书馆
185,109,978-7-311,学术参考资料,TP31,2025-10-18,2025-11-17,2025-11-02,0,主图书馆
186,110,978-7-126,学术参考资料,I247,2025-11-22,2025-12-22,2025-12-14,0,主图书馆
187,110,978-7-388,学术参考资料,I247,2025-10-18,2025-11-17,2025-10-25,0,主图书馆
188,110,978-7-598,学术参考资料,TP31,2025-09-02,2025-10-02,2025-09-26,0,主图书馆
189,111,978-7-320,学术参考资料,I247,2025-10-07,2025-11-06,2025-10-28,0,主图书馆
190,111,978-7-261,学术参考资料,I247,2025-10-28,2025-11-27,2025-11-08,0,主图书馆
191,111,978-7-962,学术参考资料,I247,2025-10-09,2025-11-08,2025-11-01,0,主图书馆
192,111,978-7-583,学术参考资料,I247,2025-12-27,2026-01-26,2026-01-20,0,主图书馆
193,111,978-7-663,学术参考资料,I247,2025-11-16,2025-12-16,2025-11-21,0,主图书馆
194,112,978-7-234,学术参考资料,I247,2025-10-21,2025-11-20,2025-11-15,0,主图书馆
195,112,978-7-555,学术参考资料,TP31,2025-11-29,2025-12-29,2025-12-09,0,主图书馆
196,118,978-7-334,学术参考资料,I247,2025-12-22,2026-01-21,2025-12-31,0,主图书馆
197,118,978-7-840,学术参考资料,TP31,2025-11-13,2025-12-13,2025-11-21,0,主图书馆
198,118,978-7-265,学术参考资料,TP31,2025-12-02,2026-01-01,2025-12-16,0,主图书馆
199,118,978-7-265,学术参考资料,TP31,2025-12-08,2026-01-07,2025-12-17,0,主图书馆
200,118,978-7-224,学术参考资料,TP31,2025-12-23,2026-01-22,2026-01-16,0,主图书馆
201,121,978-7-887,学术参考资料,TP31,2025-10-23,2025-11-22,2025-11-06,0,主图书馆
202,121,978-7-641,学术参考资料,TP31,2025-09-05,2025-10-05,2025-09-29,0,主图书馆
203,122,978-7-271,学术参考资料,I247,2025-09-07,2025-10-07,2025-09-22,0,主图书馆
204,122,978-7-439,学术参考资料,I247,2025-11-12,2025-12-12,2025-11-29,0,主图书馆
205,122,978-7-594,学术参考资料,TP31,2025-09-12,2025-10-12,2025-10-06,0,主图书馆
206,124,978-7-950,学术参考资料,TP31,2025-12-03,2026-01-02,2025-12-22,0,主图书馆
207,124,978-7-118,学术参考资料,I247,2025-11-21,2025-12-21,2025-12-01,0,主图书馆
208,124,978-7-212,学术参考资料,I247,2025-11-25,2025-12-25,2025-12-13,0,主图书馆
209,124,978-7-637,学术参考资料,I247,2025-10-28,2025-11-27,2025-11-08,0,主图书馆
210,124,978-7-455,学术参考资料,I247,2025-11-29,2025-12-29,2025-12-08,0,主图书馆
211,125,978-7-779,学术参考资料,TP31,2025-10-16,2025-11-15,2025-11-05,0,主图书馆
212,125,978-7-699,学术参考资料,TP31,2025-11-25,2025-12-25,2025-12-07,0,主图书馆
213,127,978-7-705,学术参考资料,I247,2025-10-28,2025-11-27,2025-11-15,0,主图书馆
214,127,978-7-953,学术参考资料,TP31,2025-12-16,2026-01-15,2026-01-01,0,主图书馆
215,129,978-7-151,学术参考资料,TP31,2025-12-22,2026-01-21,2026-01-16,0,主图书馆
216,129,978-7-293,学术参考资料,I247,2025-11-07,2025-12-07,2025-11-16,0,主图书馆
217,129,978-7-219,学术参考资料,TP31,2025-11-20,2025-12-20,2025-12-05,0,主图书馆
218,129,978-7-971,学术参考资料,I247,2025-10-03,2025-11-02,2025-10-19,0,主图书馆
219,129,978-7-784,学术参考资料,TP31,2025-09-15,2025-10-15,2025-10-03,0,主图书馆
220,130,978-7-829,学术参考资料,TP31,2025-10-17,2025-11-16,2025-10-31,0,主图书馆
221,130,978-7-687,学术参考资料,I247,2025-11-14,2025-12-14,2025-12-01,0,主图书馆
222,130,978-7-883,学术参考资料,TP31,2025-09-20,2025-10-20,2025-09-29,0,主图书馆
223,130,978-7-202,学术参考资料,I247,2025-11-26,2025-12-26,2025-12-18,0,主图书馆
224,132,978-7-203,学术参考资料,TP31,2025-11-24,2025-12-24,2025-12-18,0,主图书馆
225,132,978-7-478,学术参考资料,I247,2025-09-16,2025-10-16,2025-10-06,0,主图书馆
226,133,978-7-742,学术参考资料,I247,2025-11-11,2025-12-11,2025-11-22,0,主图书馆
227,133,978-7-873,学术参考资料,I247,2025-10-27,2025-11-26,2025-11-15,0,主图书馆
228,133,978-7-814,学术参考资料,I247,2025-12-17,2026-01-16,2026-01-05,0,主图书馆
229,133,978-7-179,学术参考资料,I247,2025-10-09,2025-11-08,2025-11-03,0,主图书馆
230,134,978-7-340,学术参考资料,I247,2025-09-09,2025-10-09,2025-10-02,0,主图书馆
231,134,978-7-718,学术参考资料,TP31,2025-11-30,2025-12-30,2025-12-13,0,主图书馆
232,137,978-7-350,学术参考资料,I247,2025-11-19,2025-12-19,2025-12-08,0,主图书馆
233,137,978-7-109,学术参考资料,I247,2025-11-11,2025-12-11,2025-11-20,0,主图书馆
234,137,978-7-234,学术参考资料,I247,2025-12-05,2026-01-04,2025-12-18,0,主图书馆
235,139,978-7-849,学术参考资料,TP31,2025-12-08,2026-01-07,2025-12-27,0,主图书馆
236,139,978-7-201,学术参考资料,TP31,2025-12-04,2026-01-03,2025-12-12,0,主图书馆
237,144,978-7-414,学术参考资料,TP31,2025-10-12,2025-11-11,2025-10-19,0,主图书馆
238,144,978-7-146,学术参考资料,TP31,2025-09-30,2025-10-30,2025-10-09,0,主图书馆
239,145,978-7-393,学术参考资料,TP31,2025-11-12,2025-12-12,2025-11-25,0,主图书馆
240,146,978-7-994,学术参考资料,I247,2025-11-06,2025-12-06,2025-11-22,0,主图书馆
241,146,978-7-745,学术参考资料,I247,2025-11-28,2025-12-28,2025-12-19,0,主图书馆
242,146,978-7-214,学术参考资料,TP31,2025-09-24,2025-10-24,2025-10-17,0,主图书馆
243,146,978-7-541,学术参考资料,I247,2025-11-05,2025-12-05,2025-11-20,0,主图书馆
244,147,978-7-850,学术参考资料,TP31,2025-12-13,2026-01-12,2026-01-05,0,主图书馆
245,147,978-7-552,学术参考资料,TP31,2025-11-09,2025-12-09,2025-11-25,0,主图书馆
246,147,978-7-469,学术参考资料,I247,2025-10-12,2025-11-11,2025-10-22,0,主图书馆
247,149,978-7-396,学术参考资料,TP31,2025-12-11,2026-01-10,2026-01-01,0,主图书馆
248,149,978-7-213,学术参考资料,TP31,2025-09-23,2025-10-23,2025-10-09,0,主图书馆
249,149,978-7-382,学术参考资料,TP31,2025-10-26,2025-11-25,2025-11-19,0,主图书馆
250,152,978-7-213,学术参考资料,TP31,2025-10-21,2025-11-20,2025-11-07,0,主图书馆
251,152,978-7-859,学术参考资料,TP31,2025-12-17,2026-01-16,2025-12-29,0,主图书馆
252,152,978-7-913,学术参考资料,I247,2025-09-14,2025-10-14,2025-09-24,0,主图书馆
253,152,978-7-873,学术参考资料,TP31,2025-12-16,2026-01-15,2026-01-04,0,主图书馆
254,153,978-7-361,学术参考资料,TP31,2025-11-07,2025-12-07,2025-11-29,0,主图书馆
255,153,978-7-889,学术参考资料,I247,2025-11-04,2025-12-04,2025-11-24,0,主图书馆
256,153,978-7-641,学术参考资料,I247,2025-10-01,2025-10-31,2025-10-10,0,主图书馆
257,153,978-7-345,学术参考资料,I247,2025-09-29,2025-10-29,2025-10-24,0,主图书馆
258,153,978-7-735,学术参考资料,I247,2025-11-28,2025-12-28,2025-12-21,0,主图书馆
259,156,978-7-188,学术参考资料,I247,2025-12-14,2026-01-13,2025-12-21,0,主图书馆
260,156,978-7-908,学术参考资料,I247,2025-09-20,2025-10-20,2025-09-28,0,主图书馆
261,156,978-7-461,学术参考资料,TP31,2025-09-22,2025-10-22,2025-10-13,0,主图书馆
262,156,978-7-946,学术参考资料,I247,2025-09-09,2025-10-09,2025-09-23,0,主图书馆
263,156,978-7-554,学术参考资料,TP31,2025-09-23,2025-10-23,2025-10-18,0,主图书馆
264,157,978-7-793,学术参考资料,TP31,2025-09-20,2025-10-20,2025-10-12,0,主图书馆
265,157,978-7-669,学术参考资料,TP31,2025-12-03,2026-01-02,2025-12-26,0,主图书馆
266,157,978-7-400,学术参考资料,TP31,2025-11-16,2025-12-16,2025-11-25,0,主图书馆
267,158,978-7-401,学术参考资料,TP31,2025-09-15,2025-10-15,2025-10-07,0,主图书馆
268,158,978-7-238,学术参考资料,TP31,2025-10-31,2025-11-30,2025-11-20,0,主图书馆
269,159,978-7-140,学术参考资料,TP31,2025-09-16,2025-10-16,2025-09-27,0,主图书馆
270,159,978-7-448,学术参考资料,TP31,2025-11-10,2025-12-10,2025-11-30,0,主图书馆
271,159,978-7-153,学术参考资料,TP31,2025-12-13,2026-01-12,2025-12-26,0,主图书馆
272,159,978-7-646,学术参考资料,I247,2025-10-29,2025-11-28,2025-11-08,0,主图书馆
273,159,978-7-782,学术参考资料,TP31,2025-09-02,2025-10-02,2025-09-24,0,主图书馆
274,160,978-7-608,学术参考资料,TP31,2025-09-07,2025-10-07,2025-09-19,0,主图书馆
275,160,978-7-371,学术参考资料,I247,2025-12-26,2026-01-25,2026-01-02,0,主图书馆
276,160,978-7-397,学术参考资料,TP31,2025-11-02,2025-12-02,2025-11-07,0,主图书馆
277,161,978-7-419,学术参考资料,TP31,2025-10-08,2025-11-07,2025-10-25,0,主图书馆
278,161,978-7-563,学术参考资料,TP31,2025-11-21,2025-12-21,2025-12-08,0,主图书馆
279,163,978-7-867,学术参考资料,I247,2025-11-02,2025-12-02,2025-11-14,0,主图书馆
280,163,978-7-761,学术参考资料,I247,2025-11-27,2025-12-27,2025-12-09,0,主图书馆
